timesTamp,parameterName,sensorId,RMSVelocityH,RMSVelocityV,RMSVelocityA,energy,rms_magnitude,max_rms,proxy_anomaly,split,statistical_anomaly,if_anomaly,if_anomaly_bool,if_anomaly_score,RMSVelocityH_rolling_mean_5,RMSVelocityV_rolling_mean_5,RMSVelocityA_rolling_mean_5,energy_rolling_mean_5,RMSVelocityH_rolling_std_5,RMSVelocityV_rolling_std_5,RMSVelocityA_rolling_std_5,energy_rolling_std_5,RMSVelocityH_diff_abs,RMSVelocityV_diff_abs,RMSVelocityA_diff_abs,energy_diff_abs,hour,day_of_week
2025-01-01 02:00:00,Pump_1,189310001,0.302,0.256,0.357,0.28418899999999997,0.5330938003766317,0.357,False,train,False,1,False,0.4836910259771977,0.3004,0.24980000000000002,0.35259999999999997,0.277034,0.004219004621945803,0.005540758070878033,0.005941380311005186,0.004664020690348604,0.0050000000000000044,0.009000000000000008,0.013000000000000012,0.010594999999999966,2,2
2025-01-01 02:30:00,Pump_1,189310001,0.312,0.25,0.349,0.281645,0.5307023647959371,0.349,False,train,False,1,False,0.48541084414672253,0.3034,0.2488,0.3518,0.2777944,0.006107372593840985,0.004764451699828643,0.006140032573203509,0.005116838750634981,0.010000000000000009,0.006000000000000005,0.008000000000000007,0.0025439999999999907,2,2
2025-01-01 03:00:00,Pump_1,189310001,0.299,0.26,0.353,0.28160999999999997,0.5306693886027344,0.353,False,train,False,1,False,0.48769804058015365,0.3034,0.2522,0.35059999999999997,0.2786502,0.006107372593840985,0.005585696017507596,0.004827007354458882,0.005371458153983848,0.013000000000000012,0.010000000000000009,0.0040000000000000036,3.500000000000725e-05,3,2
2025-01-01 03:30:00,Pump_1,189310001,0.303,0.244,0.359,0.280226,0.5293637690662254,0.359,False,train,False,1,False,0.4840049010595414,0.3046,0.25139999999999996,0.3524,0.28025279999999997,0.005029910535983708,0.006542170893518461,0.006066300355241265,0.003987926115163017,0.0040000000000000036,0.016000000000000014,0.006000000000000005,0.0013839999999999963,3,2
2025-01-01 04:00:00,Pump_1,189310001,0.308,0.243,0.357,0.281362,0.5304356699921301,0.357,False,train,False,1,False,0.48070465299080284,0.3048,0.25060000000000004,0.355,0.28180639999999996,0.005167204273105515,0.007402702209328701,0.00400000000000007,0.0014522879535405154,0.0050000000000000044,0.0010000000000000009,0.0020000000000000018,0.0011360000000000259,4,2
2025-01-01 04:30:00,Pump_1,189310001,0.31,0.243,0.365,0.288374,0.5370046554733022,0.365,False,train,False,1,False,0.47835178855266103,0.3064,0.248,0.3566,0.2826434,0.005319774431308141,0.00731436941916387,0.006066300355241309,0.003255391804376075,0.0020000000000000018,0.0,0.008000000000000007,0.007012000000000018,4,2
2025-01-01 05:00:00,Pump_1,189310001,0.315,0.254,0.35,0.286241,0.5350149530620616,0.35,False,train,False,1,False,0.48293546198263193,0.30700000000000005,0.2488,0.35679999999999995,0.2835626,0.00620483682299542,0.007791020472312962,0.005761944116355254,0.0035394767692412993,0.0050000000000000044,0.01100000000000001,0.015000000000000013,0.002132999999999996,5,2
2025-01-01 05:30:00,Pump_1,189310001,0.3,0.258,0.351,0.279765,0.5289281614737487,0.351,False,train,False,1,False,0.49143584309280275,0.30720000000000003,0.2484,0.3564,0.2831936,0.005890670590009243,0.007092249290598834,0.006148170459575832,0.0038742708088102032,0.015000000000000013,0.0040000000000000036,0.0010000000000000009,0.006476000000000037,5,2
2025-01-01 06:00:00,Pump_1,189310001,0.313,0.245,0.357,0.285443,0.5342686590096783,0.357,False,train,False,1,False,0.48452583547925937,0.30920000000000003,0.2486,0.356,0.284237,0.005805170109479993,0.0069498201415576,0.00600000000000007,0.0035654463254968082,0.013000000000000012,0.013000000000000012,0.006000000000000005,0.005678000000000016,6,2
2025-01-01 06:30:00,Pump_1,189310001,0.313,0.251,0.357,0.288419,0.5370465529169701,0.357,False,train,False,1,False,0.4751107980200067,0.3102,0.2502,0.356,0.2856484,0.005974947698515861,0.006220932405998303,0.00600000000000007,0.003539522538422165,0.0,0.006000000000000005,0.0,0.0029759999999999787,6,2
